Compartment	Contrast	Time	Age	OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	Kingdom	Phylum	Class	Order	Family	Genus	Species
RS	WC_vs_D1	1	10	141531	5.61379335438027	0.68447604530896	1.01778710936234	4.43742446734576	9.10416530098721e-06	0.0030620342628987	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified
RS	WC_vs_D1	1	10	178178	134.046809928318	-5.58079711922922	0.96152382644164	-6.32297328879769	2.56577667453241e-10	2.5888686646032e-07	Bacteria	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	Gloeotrichia	unclassified
RS	WC_vs_D1	1	10	882681	3.29112088030966	3.62001202295086	0.851236427051645	3.91177968598686	9.1618472863308e-05	0.0231107597797694	Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	unclassified	unclassified
RS	WC_vs_D1	1	10	209202	3.48486297472155	-2.45366384417064	0.904796779331215	-5.7168479618157	1.08518128211467e-08	5.47473956826851e-06	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	unclassified
RS	WC_vs_D2	1	10	697479	2.54839923236599	0.456939707719435	0.889745636916518	5.03756066710772	4.71502140407465e-07	0.000261919438996347	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	unclassified
RS	WC_vs_D2	1	10	178178	134.046809928318	-4.44220195455078	0.961673389672491	-5.08277529975843	3.71959630512771e-07	0.000247948289699813	Bacteria	Cyanobacteria	Nostocophycideae	Nostocales	Nostocaceae	Gloeotrichia	unclassified
RS	WC_vs_D2	1	10	209202	3.48486297472155	-2.93318857958442	0.905054235124408	-5.67034122282423	1.42513392171174e-08	1.58332378702174e-05	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	unclassified
RS	WC_vs_D2	1	10	324366	4.69942022264822	-0.39525481599241	1.01128054971169	-9.84047752678229	7.53523236062461e-23	2.51149294579618e-19	Bacteria	Gemmatimonadetes	Gemmatimonadetes	KD8-87	unclassified	unclassified	unclassified
RS	WC_vs_D2	1	10	1078248	1.65338182618898	0.510772057284865	1.00492211623375	6.06580345653	1.31295613183965e-09	2.18804139371077e-06	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified
RS	WC_vs_D2	1	10	730204	1.32372807819189	-1.19485767608049	0.809398330712172	-5.39177930825244	6.97634162973297e-08	5.813036662975e-05	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	unclassified
